sequence;type;annee;tour;departement;commune;numero_du_bureau;code_canton;code_circonscription;indicatif;nombre_dinscrits;nombre_dabstentions;nombre_de_votants;nombre_de_votants_dapres_les_feuilles_demargement;nombre_de_bulletins_blancs;nombre_de_bulletins_nuls;nombre_dexprimes;nombre_de_candidats;sigle_du_candidat1;nombre_de_voix_du_candidat1;sigle_du_candidat2;nombre_de_voix_du_candidat2;sigle_du_candidat3;nombre_de_voix_du_candidat3;sigle_du_candidat4;nombre_de_voix_du_candidat4;sigle_du_candidat5;nombre_de_voix_du_candidat5;sigle_du_candidat6;nombre_de_voix_du_candidat6;sigle_du_candidat7;nombre_de_voix_du_candidat7;sigle_du_candidat8;nombre_de_voix_du_candidat8;sigle_du_candidat9;nombre_de_voix_du_candidat9;sigle_du_candidat10;nombre_de_voix_du_candidat10;sigle_du_candidat11;nombre_de_voix_du_candidat11;sigle_du_candidat12;nombre_de_voix_du_candidat12
5;PR;2022;1;31;555;0004;17;04;I;865;174;691;691;2;1;688;12;ARTH;2;ROUS;10;MACR;183;LASS;16;LEPE;32;ZEMM;45;MELE;240;HIDA;21;JADO;86;PECR;45;POUT;5;DUPO;3
14;PR;2022;1;31;555;0013;17;01;I;1078;254;824;822;9;1;814;12;ARTH;0;ROUS;14;MACR;210;LASS;15;LEPE;66;ZEMM;60;MELE;342;HIDA;18;JADO;44;PECR;34;POUT;7;DUPO;4
15;PR;2022;1;31;555;0014;17;01;I;1103;284;819;819;6;3;810;12;ARTH;2;ROUS;13;MACR;204;LASS;13;LEPE;65;ZEMM;46;MELE;346;HIDA;15;JADO;72;PECR;19;POUT;6;DUPO;9
17;PR;2022;1;31;555;0016;17;01;I;1176;235;941;941;7;6;928;12;ARTH;1;ROUS;13;MACR;310;LASS;15;LEPE;55;ZEMM;75;MELE;303;HIDA;27;JADO;65;PECR;47;POUT;5;DUPO;12
26;PR;2022;1;31;555;0025;17;02;I;911;207;704;704;7;3;694;12;ARTH;2;ROUS;12;MACR;138;LASS;21;LEPE;64;ZEMM;33;MELE;321;HIDA;23;JADO;49;PECR;20;POUT;3;DUPO;8
30;PR;2022;1;31;555;0029;17;02;I;1091;268;823;823;16;7;800;12;ARTH;4;ROUS;16;MACR;178;LASS;21;LEPE;64;ZEMM;36;MELE;349;HIDA;23;JADO;73;PECR;16;POUT;6;DUPO;14
33;PR;2022;1;31;555;0032;18;04;I;902;180;722;722;13;2;707;12;ARTH;0;ROUS;8;MACR;266;LASS;17;LEPE;64;ZEMM;89;MELE;142;HIDA;12;JADO;38;PECR;60;POUT;4;DUPO;7
40;PR;2022;1;31;555;0039;18;03;I;78;19;59;59;0;0;59;12;ARTH;1;ROUS;1;MACR;19;LASS;2;LEPE;6;ZEMM;9;MELE;18;HIDA;0;JADO;1;PECR;2;POUT;0;DUPO;0
46;PR;2022;1;31;555;0045;18;04;I;685;126;559;559;3;1;555;12;ARTH;1;ROUS;6;MACR;179;LASS;15;LEPE;33;ZEMM;33;MELE;180;HIDA;19;JADO;45;PECR;32;POUT;7;DUPO;5
47;PR;2022;1;31;555;0046;18;02;I;442;191;251;251;6;1;244;12;ARTH;2;ROUS;5;MACR;48;LASS;10;LEPE;22;ZEMM;6;MELE;133;HIDA;6;JADO;3;PECR;5;POUT;2;DUPO;2
